index,title,artist,year,place
1,"Hey, Soul Sister",Train,2010.0,1
2,Love The Way You Lie,Eminem,2010.0,2
3,TiK ToK,Kesha,2010.0,3
4,Bad Romance,Lady Gaga,2010.0,4
5,Just the Way You Are,Bruno Mars,2010.0,5
6,Baby,Justin Bieber,2010.0,6
7,Dynamite,Taio Cruz,2010.0,7
8,Secrets,OneRepublic,2010.0,8
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,2010.0,9
10,Only Girl (In The World),Rihanna,2010.0,10
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,2010.0,11
12,Marry You,Bruno Mars,2010.0,12
13,Cooler Than Me - Single Mix,Mike Posner,2010.0,13
14,Telephone,Lady Gaga,2010.0,14
15,Like A G6,Far East Movement,2010.0,15
16,OMG (feat. will.i.am),Usher,2010.0,16
17,Eenie Meenie,Sean Kingston,2010.0,17
18,The Time (Dirty Bit),The Black Eyed Peas,2010.0,18
19,Alejandro,Lady Gaga,2010.0,19
20,Your Love Is My Drug,Kesha,2010.0,20
21,Meet Me Halfway,The Black Eyed Peas,2010.0,21
22,Whataya Want from Me,Adam Lambert,2010.0,22
23,Take It Off,Kesha,2010.0,23
24,Misery,Maroon 5,2010.0,24
25,All The Right Moves,OneRepublic,2010.0,25
26,Animal,Neon Trees,2010.0,26
27,Naturally,Selena Gomez & The Scene,2010.0,27
28,I Like It,Enrique Iglesias,2010.0,28
29,Teenage Dream,Katy Perry,2010.0,29
30,California Gurls,Katy Perry,2010.0,30
31,3,Britney Spears,2010.0,31
32,My First Kiss - feat. Ke$ha,3OH!3,2010.0,32
33,Blah Blah Blah (feat. 3OH!3),Kesha,2010.0,33
34,Imma Be,The Black Eyed Peas,2010.0,34
35,Try Sleeping with a Broken Heart,Alicia Keys,2010.0,35
36,Sexy Bitch (feat. Akon),David Guetta,2010.0,36
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010.0,37
38,If I Had You,Adam Lambert,2010.0,38
39,Rock That Body,The Black Eyed Peas,2010.0,39
40,Dog Days Are Over,Florence + The Machine,2010.0,40
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010.0,41
42,Doesn't Mean Anything,Alicia Keys,2010.0,42
43,Hard,Rihanna,2010.0,43
44,Loca,Shakira,2010.0,44
45,You Lost Me,Christina Aguilera,2010.0,45
46,Not Myself Tonight,Christina Aguilera,2010.0,46
47,Written in the Stars (feat. Eric Turner),Tinie Tempah,2010.0,47
48,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,2010.0,48
49,Castle Walls (feat. Christina Aguilera),T.I.,2010.0,49
50,Break Your Heart,Taio Cruz,2010.0,50
51,Hello,Martin Solveig,2010.0,51
52,A Thousand Years,Christina Perri,2011.0,1
53,Someone Like You,Adele,2011.0,2
54,Give Me Everything,Pitbull,2011.0,3
55,Just the Way You Are,Bruno Mars,2011.0,4
56,Rolling in the Deep,Adele,2011.0,5
57,Run the World (Girls),Beyoncй,2011.0,6
58,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2011.0,7
59,Love On Top,Beyoncй,2011.0,8
60,Grenade,Bruno Mars,2011.0,9
61,Tonight Tonight,Hot Chelle Rae,2011.0,10
62,What the Hell,Avril Lavigne,2011.0,11
63,Born This Way,Lady Gaga,2011.0,12
64,Monster,Kanye West,2011.0,13
65,Marry You,Bruno Mars,2011.0,14
66,Best Thing I Never Had,Beyoncй,2011.0,15
67,Party Rock Anthem,LMFAO,2011.0,16
68,We R Who We R,Kesha,2011.0,17
69,Price Tag,Jessie J,2011.0,18
70,Good Life,OneRepublic,2011.0,19
71,Just Can’t Get Enough,The Black Eyed Peas,2011.0,20
72,On The Floor,Jennifer Lopez,2011.0,21
73,What's My Name?,Rihanna,2011.0,22
74,Yeah 3x,Chris Brown,2011.0,23
75,Without You (feat. Usher),David Guetta,2011.0,24
76,Sexy And I Know It,LMFAO,2011.0,25
77,The Edge Of Glory,Lady Gaga,2011.0,26
78,E.T.,Katy Perry,2011.0,27
79,Till the World Ends,Britney Spears,2011.0,28
80,I Wanna Go,Britney Spears,2011.0,29
81,Blow,Kesha,2011.0,30
82,You And I,Lady Gaga,2011.0,31
83,Judas,Lady Gaga,2011.0,32
84,Tonight (I'm Fuckin' You),Enrique Iglesias,2011.0,33
85,Please Don't Go,Mike Posner,2011.0,34
86,We Found Love,Rihanna,2011.0,35
87,Marry The Night,Lady Gaga,2011.0,36
88,1+1,Beyoncй,2011.0,37
89,Hold It Against Me,Britney Spears,2011.0,38
90,I'm Into You,Jennifer Lopez,2011.0,39
91,Papi,Jennifer Lopez,2011.0,40
92,Cheers (Drink To That),Rihanna,2011.0,41
93,S&M Remix,Rihanna,2011.0,42
94,Written in the Stars (feat. Eric Turner),Tinie Tempah,2011.0,43
95,Jar of Hearts,Christina Perri,2011.0,44
96,Castle Walls (feat. Christina Aguilera),T.I.,2011.0,45
97,Turning Page,Sleeping At Last,2011.0,46
98,Super Bass,Nicki Minaj,2011.0,47
99,Raise Your Glass,P!nk,2011.0,48
100,Invading My Mind,Jennifer Lopez,2011.0,49
