ID;title;artist;year;place
1;Hey, Soul Sister;Train;2010;1
2;Love The Way You Lie;Eminem;2010;2
3;TiK ToK;Kesha;2010;3
4;Bad Romance;Lady Gaga;2010;4
5;Just the Way You Are;Bruno Mars;2010;5
6;Baby;Justin Bieber;2010;6
7;Dynamite;Taio Cruz;2010;7
8;Secrets;OneRepublic;2010;8
9;Empire State of Mind (Part II) Broken Down;Alicia Keys;2010;9
10;Only Girl (In The World);Rihanna;2010;10
11;Club Can't Handle Me (feat. David Guetta);Flo Rida;2010;11
12;Marry You;Bruno Mars;2010;12
13;Cooler Than Me - Single Mix;Mike Posner;2010;13
14;Telephone;Lady Gaga;2010;14
15;Like A G6;Far East Movement;2010;15
16;OMG (feat. will.i.am);Usher;2010;16
17;Eenie Meenie;Sean Kingston;2010;17
18;The Time (Dirty Bit);The Black Eyed Peas;2010;18
19;Alejandro;Lady Gaga;2010;19
20;Your Love Is My Drug;Kesha;2010;20
21;Meet Me Halfway;The Black Eyed Peas;2010;21
22;Whataya Want from Me;Adam Lambert;2010;22
23;Take It Off;Kesha;2010;23
24;Misery;Maroon 5;2010;24
25;All The Right Moves;OneRepublic;2010;25
26;Animal;Neon Trees;2010;26
27;Naturally;Selena Gomez & The Scene;2010;27
28;I Like It;Enrique Iglesias;2010;28
29;Teenage Dream;Katy Perry;2010;29
30;California Gurls;Katy Perry;2010;30
31;3;Britney Spears;2010;31
32;My First Kiss - feat. Ke$ha;3OH!3;2010;32
33;Blah Blah Blah (feat. 3OH!3);Kesha;2010;33
34;Imma Be;The Black Eyed Peas;2010;34
35;Try Sleeping with a Broken Heart;Alicia Keys;2010;35
36;Sexy Bitch (feat. Akon);David Guetta;2010;36
37;Bound To You - Burlesque Original Motion Picture Soundtrack;Christina Aguilera;2010;37
38;If I Had You;Adam Lambert;2010;38
39;Rock That Body;The Black Eyed Peas;2010;39
40;Dog Days Are Over;Florence + The Machine;2010;40
41;Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack;Christina Aguilera;2010;41
42;Doesn't Mean Anything;Alicia Keys;2010;42
43;Hard;Rihanna;2010;43
44;Loca;Shakira;2010;44
45;You Lost Me;Christina Aguilera;2010;45
46;Not Myself Tonight;Christina Aguilera;2010;46
47;Written in the Stars (feat. Eric Turner);Tinie Tempah;2010;47
48;DJ Got Us Fallin' In Love (feat. Pitbull);Usher;2010;48
49;Castle Walls (feat. Christina Aguilera);T.I.;2010;49
50;Break Your Heart;Taio Cruz;2010;50
51;Hello;Martin Solveig;2010;51
52;A Thousand Years;Christina Perri;2011;1
53;Someone Like You;Adele;2011;2
54;Give Me Everything;Pitbull;2011;3
55;Just the Way You Are;Bruno Mars;2011;4
56;Rolling in the Deep;Adele;2011;5
57;Run the World (Girls);Beyonc�;2011;6
58;Moves Like Jagger - Studio Recording From The Voice Performance;Maroon 5;2011;7
59;Love On Top;Beyonc�;2011;8
60;Grenade;Bruno Mars;2011;9
61;Tonight Tonight;Hot Chelle Rae;2011;10
62;What the Hell;Avril Lavigne;2011;11
63;Born This Way;Lady Gaga;2011;12
64;Monster;Kanye West;2011;13
65;Marry You;Bruno Mars;2011;14
66;Best Thing I Never Had;Beyonc�;2011;15
67;Party Rock Anthem;LMFAO;2011;16
68;We R Who We R;Kesha;2011;17
69;Price Tag;Jessie J;2011;18
70;Good Life;OneRepublic;2011;19
71;Just Can�t Get Enough;The Black Eyed Peas;2011;20
72;On The Floor;Jennifer Lopez;2011;21
73;What's My Name?;Rihanna;2011;22
74;Yeah 3x;Chris Brown;2011;23
75;Without You (feat. Usher);David Guetta;2011;24
76;Sexy And I Know It;LMFAO;2011;25
77;The Edge Of Glory;Lady Gaga;2011;26
78;E.T.;Katy Perry;2011;27
79;Till the World Ends;Britney Spears;2011;28
80;I Wanna Go;Britney Spears;2011;29
81;Blow;Kesha;2011;30
82;You And I;Lady Gaga;2011;31
83;Judas;Lady Gaga;2011;32
84;Tonight (I'm Fuckin' You);Enrique Iglesias;2011;33
85;Please Don't Go;Mike Posner;2011;34
86;We Found Love;Rihanna;2011;35
87;Marry The Night;Lady Gaga;2011;36
88;1+1;Beyonc�;2011;37
89;Hold It Against Me;Britney Spears;2011;38
90;I'm Into You;Jennifer Lopez;2011;39
91;Papi;Jennifer Lopez;2011;40
92;Cheers (Drink To That);Rihanna;2011;41
93;S&M Remix;Rihanna;2011;42
94;Written in the Stars (feat. Eric Turner);Tinie Tempah;2011;43
95;Jar of Hearts;Christina Perri;2011;44
96;Castle Walls (feat. Christina Aguilera);T.I.;2011;45
97;Turning Page;Sleeping At Last;2011;46
98;Super Bass;Nicki Minaj;2011;47
99;Raise Your Glass;P!nk;2011;48
100;Invading My Mind;Jennifer Lopez;2011;49
101;Moment 4 Life - Album Version (Edited);Nicki Minaj;2011;50
102;Last Friday Night (T.G.I.F.);Katy Perry;2011;51
103;Firework;Katy Perry;2011;52
104;Muny - Album Version (Edited);Nicki Minaj;2011;53
105;Titanium (feat. Sia);David Guetta;2012;1
106;Locked Out of Heaven;Bruno Mars;2012;2
107;Paradise;Coldplay;2012;3
108;Payphone;Maroon 5;2012;4
109;What Makes You Beautiful;One Direction;2012;5
110;I Knew You Were Trouble.;Taylor Swift;2012;6
111;Call Me Maybe;Carly Rae Jepsen;2012;7
112;Love You Like A Love Song;Selena Gomez & The Scene;2012;8
113;Set Fire to the Rain;Adele;2012;9
114;We Are Never Ever Getting Back Together;Taylor Swift;2012;10
115;Stronger (What Doesn't Kill You);Kelly Clarkson;2012;11
116;Try;P!nk;2012;12
117;Starships;Nicki Minaj;2012;13
118;One More Night;Maroon 5;2012;14
119;Good Time;Owl City;2012;15
120;Glad You Came;The Wanted;2012;16
121;Beauty And A Beat;Justin Bieber;2012;17
122;International Love;Pitbull;2012;18
123;Some Nights;fun.;2012;19
124;Boyfriend;Justin Bieber;2012;20
125;Part Of Me;Katy Perry;2012;21
126;Domino;Jessie J;2012;22
127;Where Have You Been;Rihanna;2012;23
128;Wide Awake;Katy Perry;2012;24
129;The One That Got Away;Katy Perry;2012;25
130;Dance Again;Jennifer Lopez;2012;26
131;Turn Up the Music;Chris Brown;2012;27
132;Lights - Single Version;Ellie Goulding;2012;28
133;We Are Young (feat. Janelle Mon�e);fun.;2012;29
134;Diamonds;Rihanna;2012;30
135;Don't Stop the Party (feat. TJR);Pitbull;2012;31
136;You Da One;Rihanna;2012;32
137;Stereo Hearts (feat. Adam Levine);Gym Class Heroes;2012;33
138;It Will Rain;Bruno Mars;2012;34
139;Blow Me (One Last Kiss);P!nk;2012;35
140;Underneath the Tree;Kelly Clarkson;2013;1
141;Wake Me Up;Avicii;2013;2
142;Story of My Life;One Direction;2013;3
143;Just Give Me a Reason (feat. Nate Ruess);P!nk;2013;4
144;Hall of Fame;The Script;2013;5
145;Roar;Katy Perry;2013;6
146;We Can't Stop;Miley Cyrus;2013;7
147;Don't You Worry Child - Radio Edit;Swedish House Mafia;2013;8
148;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;Daft Punk;2013;9
149;Wrecking Ball;Miley Cyrus;2013;10
150;Impossible;James Arthur;2013;11
151;Blurred Lines;Robin Thicke;2013;12
152;Heart Attack;Demi Lovato;2013;13
153;We Are Never Ever Getting Back Together;Taylor Swift;2013;14
154;Die Young;Kesha;2013;15
155;Clarity;Zedd;2013;16
156;Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;Lana Del Rey;2013;17
157;Under Control;Calvin Harris;2013;18
158;Everybody Talks;Neon Trees;2013;19
159;Hold On, We're Going Home;Drake;2013;20
160;Best Song Ever;One Direction;2013;21
161;Kiss You;One Direction;2013;22
162;Sweet Nothing (feat. Florence Welch);Calvin Harris;2013;23
163;Lose Yourself to Dance;Daft Punk;2013;24
164;Work Bitch;Britney Spears;2013;25
165;Brave;Sara Bareilles;2013;26
166;Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;2013;27
167;Feel This Moment (feat. Christina Aguilera);Pitbull;2013;28
168;Beneath Your Beautiful;Labrinth;2013;29
169;Let Me Love You (Until You Learn To Love Yourself);Ne-Yo;2013;30
170;Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;2013;31
171;If I Lose Myself - Alesso vs OneRepublic;OneRepublic;2013;32
172;The Way;Ariana Grande;2013;33
173;Suit & Tie;Justin Timberlake;2013;34
174;#thatPOWER;will.i.am;2013;35
175;I Love It (feat. Charli XCX);Icona Pop;2013;36
176;Play Hard (feat. Ne-Yo & Akon) - New Edit;David Guetta;2013;37
177;Daylight;Maroon 5;2013;38
178;Love Somebody;Maroon 5;2013;39
179;A Little Party Never Killed Nobody (All We Got);Fergie;2013;40
180;Move;Little Mix;2013;41
181;Walks Like Rihanna;The Wanted;2013;42
182;Rock N Roll;Avril Lavigne;2013;43
183;Heartbreaker;Justin Bieber;2013;44
184;Mirrors - Radio Edit;Justin Timberlake;2013;45
185;Next To Me;Emeli Sand�;2013;46
186;Made In The USA;Demi Lovato;2013;47
187;Clown;Emeli Sand�;2013;48
188;Girl On Fire (feat. Nicki Minaj) - Inferno Version;Alicia Keys;2013;49
189;TKO;Justin Timberlake;2013;50
190;Come & Get It;Selena Gomez;2013;51
191;Live It Up;Jennifer Lopez;2013;52
192;We Own The Night;The Wanted;2013;53
193;Atlas - From �The Hunger Games: Catching Fire� Soundtrack;Coldplay;2013;54
194;What About Love;Austin Mahone;2013;55
195;Take Back the Night;Justin Timberlake;2013;56
196;Applause;Lady Gaga;2013;57
197;Anything Could Happen;Ellie Goulding;2013;58
198;Finally Found You;Enrique Iglesias;2013;59
199;Pom Poms;Jonas Brothers;2013;60
200;#Beautiful;Mariah Carey;2013;61
201;How Ya Doin'? (feat. Missy Elliott);Little Mix;2013;62
202;Crazy Kids (feat. will.i.am);Kesha;2013;63
203;"Ooh La La (from ""The Smurfs 2"")";Britney Spears;2013;64
204;People Like Us;Kelly Clarkson;2013;65
205;Overdose;Ciara;2013;66
206;Right Now - Dyro Radio Edit;Rihanna;2013;67
207;Give It 2 U;Robin Thicke;2013;68
208;Foolish Games;Jewel;2013;69
209;Outta Nowhere (feat. Danny Mercer);Pitbull;2013;70
210;Freak;Kelly Rowland;2013;71
211;All of Me;John Legend;2014;1
212;Stay With Me;Sam Smith;2014;2
213;Summer;Calvin Harris;2014;3
214;"Happy - From ""Despicable Me 2""";Pharrell Williams;2014;4
215;Rude;MAGIC!;2014;5
216;Shake It Off;Taylor Swift;2014;6
217;Dark Horse;Katy Perry;2014;7
218;Hey Brother;Avicii;2014;8
219;Maps;Maroon 5;2014;9
220;Treasure;Bruno Mars;2014;10
221;Let Her Go;Passenger;2014;11
222;Problem;Ariana Grande;2014;12
223;Pompeii;Bastille;2014;13
224;Team;Lorde;2014;14
225;Love Me Again;John Newman;2014;15
226;Latch;Disclosure;2014;16
227;Adore You;Miley Cyrus;2014;17
228;Love Never Felt So Good;Michael Jackson;2014;18
229;Burn;Ellie Goulding;2014;19
230;She Looks So Perfect;5 Seconds of Summer;2014;20
231;Fancy;Iggy Azalea;2014;21
232;Talk Dirty (feat. 2 Chainz);Jason Derulo;2014;22
233;Gorilla;Bruno Mars;2014;23
234;human;Christina Perri;2014;24
235;Young Girls;Bruno Mars;2014;25
236;Wiggle (feat. Snoop Dogg);Jason Derulo;2014;26
237;Love Runs Out;OneRepublic;2014;27
238;This Is How We Do;Katy Perry;2014;28
239;Mmm Yeah (feat. Pitbull);Austin Mahone;2014;29
240;A Little Party Never Killed Nobody (All We Got);Fergie;2014;30
241;#SELFIE;The Chainsmokers;2014;31
242;Partition;Beyonc�;2014;32
243;Birthday;Katy Perry;2014;33
244;G.U.Y.;Lady Gaga;2014;34
245;Stay The Night - Featuring Hayley Williams Of Paramore;Zedd;2014;35
246;"Let It Go - From ""Frozen / Single Version";Demi Lovato;2014;36
247;Wings;Birdy;2014;37
248;Can't Remember to Forget You (feat. Rihanna);Shakira;2014;38
249;Shot Me Down (feat. Skylar Grey) - Radio Edit;David Guetta;2014;39
250;Say Something;A Great Big World;2014;40
251;A Sky Full of Stars;Coldplay;2014;41
252;Come Get It Bae;Pharrell Williams;2014;42
253;Chandelier;Sia;2014;43
254;XO;Beyonc�;2014;44
255;We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song];Pitbull;2014;45
256;Not About Angels;Birdy;2014;46
257;Drunk in Love;Beyonc�;2014;47
258;Anaconda;Nicki Minaj;2014;48
259;Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr�ter;Charli XCX;2014;49
260;La La La (Brasil 2014) (feat. Carlinhos Brown);Shakira;2014;50
261;Tee Shirt - Soundtrack Version;Birdy;2014;51
262;Words as Weapons;Birdy;2014;52
263;You're Mine (Eternal);Mariah Carey;2014;53
264;Sheezus;Lily Allen;2014;54
265;Cannonball;Lea Michele;2014;55
266;It's On Again - Main Soundtrack;Alicia Keys;2014;56
267;I Luh Ya Papi;Jennifer Lopez;2014;57
268;Not a Bad Thing;Justin Timberlake;2014;58
269;Thinking out Loud;Ed Sheeran;2015;1
270;I'm Not The Only One;Sam Smith;2015;2
271;The Hills;The Weeknd;2015;3
272;Love Yourself;Justin Bieber;2015;4
273;Uptown Funk;Mark Ronson;2015;5
274;Take Me To Church;Hozier;2015;6
275;Sugar;Maroon 5;2015;7
276;Sorry;Justin Bieber;2015;8
277;FourFiveSeconds;Rihanna;2015;9
278;"Love Me Like You Do - From ""Fifty Shades Of Grey""";Ellie Goulding;2015;10
279;"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack";The Weeknd;2015;11
280;What Do You Mean?;Justin Bieber;2015;12
281;Stitches;Shawn Mendes;2015;13
